Acid Splash~PHB~0~C~hurl bubble acid choose one creature see within range choose two creature see within range within 5 foot target must succeed dexterity save throw take damage acid damage~{'dice': ['1d6'], 'damage': ['1d6', '2d6', '3d6', '4d6'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Aid~PHB~2~A~spell bolster ally toughness resolve choose three creature within range target hit point maximum current hit point increase 5 duration~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Alarm~PHB~1~A~set alarm unwanted intrusion choose door window area within range large 20foot cube spell end alarm alert whenever tiny large creature touch enters ward area cast spell designate creature wont set alarm also choose whether alarm mental audible mental alarm alert ping mind within 1 mile ward area ping awakens sleep audible alarm produce sound hand bell 10 second within 60 foot~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Alter Self~PHB~2~T~assume different form cast spell choose one follow option effect last duration spell spell last end one option action gain benefit different one adapt body aquatic environment sprout gill grow web finger breathe underwater gain swim speed equal walking speed transform appearance decide look like include height weight facial feature sound voice hair length coloration distinguish characteristic make appear member another race though none statistic change also cant appear creature different size basic shape stay youre bipedal cant use spell become quadrupedal instance time duration spell use action change appearance way grow claws fang spine horn different natural weapon choice unarm strike deal damage bludgeon pierce slash damage appropriate natural weapon choose proficient unarmed strike finally natural weapon magic 1 bonus attack damage roll make use~{'dice': 'None', 'damage': ['1d6'], 'saving_throw_types': 'None', 'conditions': 'None'}
Animal Friendship~PHB~1~E~spell let convince beast mean harm choose beast see within range must see hear beast intelligence 4 high spell fails otherwise beast must succeed wisdom save throw condition charm spell duration one companion harm target spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Wisdom', 'conditions': 'charmed'}
Animal Messenger~PHB~2~E~mean spell use animal deliver message choose tiny beast see within range squirrel blue jay bat specify location must visit recipient match general description man woman dress uniform town guard redhaired dwarf wearing point hat also speak message twentyfive word target beast travels duration spell toward specify location cover 50 mile per 24 hour fly messenger 25 mile animal messenger arrive delivers message creature describe replicate sound voice messenger speak creature match description give messenger doesnt reach destination spell end message lose beast make way back cast spell~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Animal Shapes~PHB~8~T~magic turn others beast choose number willing creature see within range transform target form filter large small beast challenge rating 4 lowerbestiarychallenge rating04typebeastsizefdtsmlmiscellaneousswarm subsequent turn use action transform affect creature new form transformation last duration target target drop 0 hit point die choose different form target target game statistic replace statistic choose beast though target retain alignment intelligence wisdom charisma score target assumes hit point new form reverts normal form return number hit point transform reverts result drop 0 hit point excess damage carry normal form long excess damage doesnt reduce creature normal form 0 hit point isnt knock condition unconscious creature limit action perform nature new form cant speak cast spell target gear meld new form target cant activate wield otherwise benefit equipment~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'unconscious'}
Animate Dead~PHB~3~N~spell create undead servant choose pile bone corpse medium small humanoid within range spell imbues target foul mimicry life raise undead creature target become creature skeleton choose bone creature skeleton choose corpse dm creature game statistic turn use bonus action mentally command creature make spell creature within 60 foot control multiple creature command time issue command one decide action creature take move next turn issue general command guard particular chamber corridor issue command creature defends hostile creature give order creature continue follow task complete creature control 24 hour stops obey command youve give maintain control creature another 24 hour must cast spell creature current 24hour period end use spell reasserts control four creature animate spell rather animate new one~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Animate Objects~PHB~5~T~object come life command choose ten nonmagical object within range worn carry medium target count two object large target count four object huge target count eight object cant animate object large huge target animates become creature control spell end reduced 0 hit point bonus action mentally command creature make spell creature within 500 foot control multiple creature command time issue command one decide action creature take move next turn issue general command guard particular chamber corridor issue command creature defends hostile creature give order creature continue follow task complete size hp ac attack str dex col2 col1 textcenter col1 textcenter col6 col1 textcenter col1 textcenter creature animate object tinyphbtiny 20 18 hit 8 hit damage damage dice 1d20 34 dice 1d20 418 creature animate object smallphbsmall 25 16 hit 6 hit damage damage dice 1d20 26 dice 1d20 214 creature animate object mediumphbmedium 40 13 hit 5 hit damage damage dice 1d2010 dice 1d20 112 creature animate object largephblarge 50 10 hit 6 hit damage damage dice 1d20 214 dice 1d2010 creature animate object hugephbhuge 80 10 hit 8 hit damage damage dice 1d20 418 dice 1d20 36 animated object construct ac hit point attack strength dexterity determine size constitution 10 intelligence wisdom 3 charisma 1 speed 30 foot object lack legs appendage use locomotion instead fly speed 30 foot hover object securely attach surface large object chain bolt wall speed 0 blindsight radius 30 foot blind beyond distance animate object drop 0 hit point revert original object form remain damage carry original object form command object attack make single melee attack creature within 5 foot make slam attack attack bonus bludgeon damage determine size dm might rule specific object inflicts slash pierce damage base form~{'dice': 'None', 'damage': ['1d4 + 4', '1d8 + 2', '2d6 + 1', '2d10 + 2', '2d12 + 4'], 'saving_throw_types': 'None', 'conditions': 'None'}
Antilife Shell~PHB~5~A~shimmer barrier extend 10foot radius move remain centered hedging creature undead construct barrier last duration barrier prevents affected creature pass reach affected creature cast spell make attack range reach weapon barrier move affect creature force pas barrier spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Antimagic Field~PHB~8~A~10footradius invisible sphere antimagic surround area divorce magical energy suffuses multiverse within sphere spell cant cast summon creature disappear even magic item become mundane spell end sphere move center spell magical effect except create artifact deity suppress sphere cant protrude slot expend cast suppress spell consume effect suppress doesnt function time spends suppress count duration spell magical effect spell magic missile spell charm person target creature object sphere effect target area another spell magical effect spell fireball cant extend sphere sphere overlaps area magic part area cover sphere suppress example flame create wall fire suppress within sphere create gap wall overlap large enough active spell magical effect creature object sphere suppress creature object property power magic item suppress sphere example 1 longsword sphere function nonmagical longsword magic weapon property power suppress use target sphere wield attacker sphere magic weapon piece magic ammunition fully leave sphere example fire magic arrow throw magic spear target outside sphere magic item cease suppress soon exits teleportation planar travel fail work sphere whether sphere destination departure point magical travel portal another location world plane existence well open extradimensional space create rope trick spell temporarily close sphere creature object summon create magic temporarily wink existence sphere creature instantly reappear space creature occupy long within sphere spell magical effect spell dispel magic effect sphere likewise spheres create different spell antimagic field spell dont nullify~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Antipathy/Sympathy~PHB~8~E~spell attract repels creature choice target something within range either huge small object creature area large 200foot cube specify kind intelligent creature red dragon goblin vampire invest target aura either attract repels specify creature duration choose antipathy sympathy aura effect enchantment cause creature kind designate feel intense urge leave area avoid target creature see target come within 60 foot creature must succeed wisdom save throw become condition frighten creature remain condition frighten see target within 60 foot condition frighten target creature must use movement move near safe spot cant see target creature move 60 foot target cant see creature long condition frighten creature become condition frighten regains sight target move within 60 foot enchantment cause specify creature feel intense urge approach target within 60 foot able see creature see target come within 60 foot creature must succeed wisdom save throw use movement turn enter area move within reach target creature do cant willingly move away target target damage otherwise harm affect creature affected creature make wisdom save throw end effect describe affected creature end turn within 60 foot target able see creature make wisdom save throw successful save creature longer affected target recognize feel repugnance attraction magical addition creature affect spell allow another wisdom save throw every 24 hour spell persist creature successfully save effect immune 1 minute time affect~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Wisdom', 'conditions': 'frightened'}
Arcane Eye~PHB~4~D~create invisible magical eye within range hovers air duration mentally receive visual information eye normal vision sense darkvision 30 foot eye look every direction action move eye 30 foot direction limit far away eye move cant enter another plane existence solid barrier block eye movement eye pas open small 1 inch diameter~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Arcane Gate~PHB~6~C~create link teleportation portal remain open duration choose two point grind see one point within 10 foot one point within 500 foot circular portal 10 foot diameter open point portal would open space occupied creature spell fail cast lose portal twodimensional glowing ring fill mist hover inch ground perpendicular point choose ring visible one side choice side function portal creature object enter portal exit portal two adjacent pass portal nonportal side effect mist fill portal opaque block vision turn rotate ring bonus action active side face different direction~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Arcane Lock~PHB~2~A~touch close door window gate chest entryway become locked duration creature designate cast spell open object normally also set password speak within 5 foot object suppresses spell 1 minute otherwise impassable broken spell dispel suppressed casting spell knock object suppresses spell arcane lock 10 minute affect spell object difficult break force open dc break pick lock increase 10~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Armor of Agathys~PHB~1~A~protective magical force surround manifest spectral frost cover gear gain 5 temporary hit point duration creature hit melee attack hit point creature take 5 cold damage~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Arms of Hadar~PHB~1~C~invoke power hadar dark hunger tendrils dark energy erupt batter creature within 10 foot creature area must make strength save throw fail save target take damage necrotic damage cant take reaction next turn successful save creature take half damage suffers effect~{'dice': 'None', 'damage': ['2d6'], 'saving_throw_types': 'Strength', 'conditions': 'None'}
Astral Projection~PHB~9~N~eight willing creature within range project astral body astral plane spell fail cast waste already plane material body leave behind condition unconscious state suspend animation doesnt need food air doesnt age astral body resembles mortal form almost every way replicate game statistic possession principal difference addition silvery cord extend shoulder blade trail behind fade invisibility 1 foot cord tether material body long tether remain intact find way home cord cutsomething happen effect specifically state doesyour soul body separate kill instantly astral form freely travel astral plane pas portal lead plane enter new plane return plane cast spell body possession transport along silver cord allow reenter body enter new plane astral form separate incarnation damage effect apply effect physical body persist return spell end companion use action dismiss spell end affected creature return physical body awakens spell might also end early one companion successful spell dispel magic spell use astral physical body end spell creature creatures original body astral form drop 0 hit point spell end creature spell end silver cord intact cord pull creatures astral form back body end state suspend animation return body prematurely companion remain astral form must find way back body usually drop 0 hit point~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'unconscious'}
Augury~PHB~2~D~cast geminlaid stick roll dragon bone lay ornate card employ divine tool receive omen otherworldly entity result specific course action plan take within next 30 minute dm chooses follow possible omen weal good result woe bad result weal woe good bad result nothing result arent especially good bad spell doesnt take account possible circumstance might change outcome cast additional spell loss gain companion cast spell two time complete next long rest cumulative chance 25random readingregular read chance cast first get random reading dm make roll secret~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Aura of Life~PHB~4~A~lifepreserving energy radiates aura 30foot radius spell end aura move center nonhostile creature aura include resistance necrotic damage hit point maximum cant reduce addition nonhostile living creature regain 1 hit point start turn aura 0 hit point~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Aura of Purity~PHB~4~A~purify energy radiates aura 30foot radius spell end aura move center nonhostile creature aura include cant become diseased resistance poison damage advantage save throw effect cause follow condition condition blind condition blind condition blind condition blind condition blind condition blind condition blind~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'on', 'conditions': 'blinded'}
Aura of Vitality~PHB~3~V~heal energy radiates aura 30foot radius spell end aura move center use bonus action cause one creature aura include regain dice hit point~{'dice': ['2d6'], 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Awaken~PHB~5~T~spend casting time trace magical pathway within precious gemstone touch huge small beast plant target must either intelligence score intelligence 3 less target gain intelligence 10 target also gain ability speak one language know target plant gain ability move limbs roots vine creeper forth gain sens similar human dm chooses statistic appropriate awaken plant statistic creature awaken shrub creature awaken shrub awaken beast plant condition charm 30 day companion anything harmful condition charm condition end awakened creature choose whether remain friendly base treat condition charm~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'charmed'}
Bane~PHB~1~E~three creature choice see within range must make charisma save throw whenever target fail save throw make attack roll saving throw spell end target must roll dice d4 subtract number roll attack roll saving throw~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'or', 'conditions': 'None'}
Banishing Smite~PHB~5~A~next time hit creature weapon attack spell end weapon crackle force attack deal extra damage force damage target additionally attack reduces target 50 hit point few banish target native different plane existence one youre target disappear return home plane target native plane youre creature vanish harmless demiplane target condition incapacitate remains spell end point target reappears space leave near unoccupied space space occupy~{'dice': 'None', 'damage': ['5d10'], 'saving_throw_types': 'None', 'conditions': 'incapacitated'}
